,Unnamed: 0,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Schedule,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Make and Model,Total_passengers,Fatality_Pecentage,Serious_Inj_Percentage,Minor/NonInj_Percentage
49,50.0,Accident,1982-01-06,"NEAR BAKERSFIEL, CA",United States,Non-Fatal,Substantial,Airplane,Boeing,A75,No,1.0,Reciprocating,,0.0,1.0,0.0,1.0,IMC,Cruise,Probable Cause,1982.0,Boeing-A75,2.0,0.0,50.0,50.0
82,84.0,Accident,1982-01-13,"WASHINGTON, DC",United States,Fatal(78),Destroyed,,Boeing,737222,No,2.0,Turbo Fan,SCHD,78.0,6.0,3.0,0.0,IMC,Takeoff,Probable Cause,1982.0,Boeing-737222,87.0,89.65517241379311,6.896551724137931,3.4482758620689653
231,242.0,Accident,1982-02-06,"MEDFORD, OR",United States,Non-Fatal,Minor,Airplane,Boeing,A75N1,No,1.0,Reciprocating,UNK,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,1982.0,Boeing-A75N1,3.0,0.0,0.0,100.0
308,320.0,Incident,1982-02-15,"ONTARIO, CA",United States,Incident,Minor,Airplane,Boeing,B7372H4,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,119.0,IMC,Approach,Probable Cause,1982.0,Boeing-B7372H4,119.0,0.0,0.0,100.0
332,344.0,Accident,1982-02-17,"MIAMI, FL",United States,Non-Fatal,Substantial,,Boeing,727235,No,3.0,Turbo Fan,SCHD,0.0,1.0,1.0,51.0,VMC,Takeoff,Probable Cause,1982.0,Boeing-727235,53.0,0.0,1.8867924528301887,98.1132075471698
339,351.0,Incident,1982-02-19,"HARLINGEN, TX",United States,Incident,,Airplane,Boeing,B727200,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,83.0,IMC,Landing,Probable Cause,1982.0,Boeing-B727200,83.0,0.0,0.0,100.0
487,506.0,Incident,1982-03-08,"LAS VEGAS, NV",United States,Incident,,Airplane,Boeing,707131B,No,4.0,Turbo Fan,UNK,1.0,0.0,0.0,0.0,VMC,Standing,Probable Cause,1982.0,Boeing-707131B,1.0,100.0,0.0,0.0
534,558.0,Accident,1982-03-13,"GLENDALE, AZ",United States,Fatal(6),Destroyed,Airplane,Boeing,Kc135A,No,4.0,Turbo Jet,UNK,6.0,0.0,0.0,0.0,UNK,Approach,Probable Cause,1982.0,Boeing-Kc135A,6.0,100.0,0.0,0.0
637,669.0,Accident,1982-03-24,"MARANA, AZ",United States,Non-Fatal,Substantial,Airplane,Boeing,707123B,No,4.0,Turbo Jet,,0.0,0.0,0.0,7.0,VMC,Landing,Probable Cause,1982.0,Boeing-707123B,7.0,0.0,0.0,100.0
756,796.0,Incident,1982-04-09,"YOUNGSTOWN, OH",United States,Incident,Minor,Airplane,Boeing,727200,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,108.0,IMC,Landing,Probable Cause,1982.0,Boeing-727200,108.0,0.0,0.0,100.0
852,901.0,Accident,1982-04-18,"AUSTIN, TX",United States,Non-Fatal,Substantial,Airplane,Boeing,727200,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,68.0,VMC,Landing,Probable Cause,1982.0,Boeing-727200,68.0,0.0,0.0,100.0
933,989.0,Accident,1982-04-27,"CHAPELL HILL, TX",United States,Fatal(1),Destroyed,Airplane,Boeing,A75,No,1.0,Reciprocating,UNK,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1982.0,Boeing-A75,1.0,100.0,0.0,0.0
974,1033.0,Accident,1982-05-01,"ERICK, OK",United States,Non-Fatal,Destroyed,Airplane,Boeing,E75,No,1.0,Reciprocating,UNK,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,1982.0,Boeing-E75,1.0,0.0,0.0,100.0
976,1036.0,Accident,1982-05-01,"MARIETTA, GA",United States,Non-Fatal,Minor,Airplane,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,1982.0,Boeing-A75N1,3.0,0.0,0.0,100.0
1003,1065.0,Accident,1982-05-02,"STERLING CITY, TX",United States,Non-Fatal,Substantial,Airplane,Boeing,E75,No,1.0,Reciprocating,,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,1982.0,Boeing-E75,2.0,0.0,0.0,100.0
1043,1107.0,Accident,1982-05-07,"MAXWELL, CA",United States,Non-Fatal,Substantial,Airplane,Boeing,A75,No,1.0,Reciprocating,UNK,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,1982.0,Boeing-A75,1.0,0.0,0.0,100.0
1053,1117.0,Accident,1982-05-08,"PLEASANT GROVE, CA",United States,Fatal(1),Substantial,Airplane,Boeing,A75N1,No,1.0,Reciprocating,UNK,1.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1982.0,Boeing-A75N1,2.0,50.0,0.0,50.0
1156,1228.0,Accident,1982-05-16,"FABENS, TX",United States,Non-Fatal,Substantial,Airplane,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1982.0,Boeing-A75N1,1.0,0.0,0.0,100.0
1159,1232.0,Accident,1982-05-16,"LOUISVILLE, KY",United States,Non-Fatal,Substantial,Airplane,Boeing,E75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1982.0,Boeing-E75N1,1.0,0.0,0.0,100.0
